name,url,tree,brand,size,price,promotion,tags,
Spinach (Phuay Leng) China,https://coldstorage.com.sg/spinach-china-phuay-leng-077161,fruits-vegetables/fresh-vegetables/leafy-vegetables,,250g,$1.60,,"fruits,vegetables,fresh,leafy,Spinach,(Phuay,Leng),China"
Kinky Kale,https://coldstorage.com.sg/kale-kinky-166494,fruits-vegetables/fresh-vegetables/leafy-vegetables,,150G,$7.00,,"fruits,vegetables,fresh,leafy,Kinky,Kale"
MINI KAI LAN THAI,https://coldstorage.com.sg/kai-lan-mini-thailand-071053,fruits-vegetables/fresh-vegetables/leafy-vegetables,,200g,$2.50,,"fruits,vegetables,fresh,leafy,MINI,KAI,LAN,THAI"
Kale Toscano,https://coldstorage.com.sg/kale-toscano-166497,fruits-vegetables/fresh-vegetables/leafy-vegetables,,150G,$7.00,,"fruits,vegetables,fresh,leafy,Kale,Toscano"
Parsley Chinese 50g,https://coldstorage.com.sg/parsley-chinese-50g-127256,fruits-vegetables/fresh-vegetables/leafy-vegetables,,50G,$1.50,,"fruits,vegetables,fresh,leafy,Parsley,Chinese,50g"
Chye Sim China,https://coldstorage.com.sg/chye-sim-china-pkt-077155,fruits-vegetables/fresh-vegetables/leafy-vegetables,,300g,$2.50,,"fruits,vegetables,fresh,leafy,Chye,Sim,China"
Celery Chinese Malaysia,https://coldstorage.com.sg/celery-chinese-malaysia-054082,fruits-vegetables/fresh-vegetables/leafy-vegetables,,100g,$1.65,,"fruits,vegetables,fresh,leafy,Celery,Chinese,Malaysia"
Kai Lan China,https://coldstorage.com.sg/kai-lan-china-pkt-077157,fruits-vegetables/fresh-vegetables/leafy-vegetables,,300g,$1.90,,"fruits,vegetables,fresh,leafy,Kai,Lan,China"
Nai Bai Baby +/-300g,https://coldstorage.com.sg/nai-bai-baby-china-077174,fruits-vegetables/fresh-vegetables/leafy-vegetables,-,300g,$3.45,,"fruits,vegetables,fresh,leafy,Nai,Bai,Baby,+/-300g"
Leek Australia,https://coldstorage.com.sg/leek-australia-017511,fruits-vegetables/fresh-vegetables/leafy-vegetables,,KG,$5.07 / 300g     ,,"fruits,vegetables,fresh,leafy,Leek,Australia"
Watercress Bunched Indonesia,https://coldstorage.com.sg/watercress-bunched-indonesia-071885,fruits-vegetables/fresh-vegetables/leafy-vegetables,-,200g,$1.45,,"fruits,vegetables,fresh,leafy,Watercress,Bunched,Indonesia"
Parsley English Malaysia,https://coldstorage.com.sg/parsley-english-50g-054107,fruits-vegetables/fresh-vegetables/leafy-vegetables,,50g,$2.45,,"fruits,vegetables,fresh,leafy,Parsley,English,Malaysia"
Shanghai Green China,https://coldstorage.com.sg/shanghai-green-china-077165,fruits-vegetables/fresh-vegetables/leafy-vegetables,,250g,$3.45,,"fruits,vegetables,fresh,leafy,Shanghai,Green,China"
Leaf Lime Malaysia,https://coldstorage.com.sg/leaf-lime-50g-055569,fruits-vegetables/fresh-vegetables/leafy-vegetables,,50g,$1.95,,"fruits,vegetables,fresh,leafy,Leaf,Lime,Malaysia"
Watercress +/-200g,https://coldstorage.com.sg/watercress-bunched-indo-016837,fruits-vegetables/fresh-vegetables/leafy-vegetables,,200G,$1.50,,"fruits,vegetables,fresh,leafy,Watercress,+/-200g"
Pandan Leaf,https://coldstorage.com.sg/pandan-leaf-50g-127239,fruits-vegetables/fresh-vegetables/leafy-vegetables,,50G,$1.45,,"fruits,vegetables,fresh,leafy,Pandan,Leaf"
Spinach Bayam,https://coldstorage.com.sg/spinach-bayam-220g-127283,fruits-vegetables/fresh-vegetables/leafy-vegetables,,220G,$2.25,,"fruits,vegetables,fresh,leafy,Spinach,Bayam"
Curry Leaves Malaysia,https://coldstorage.com.sg/curry-leaves-054122,fruits-vegetables/fresh-vegetables/leafy-vegetables,,50g,$1.65,,"fruits,vegetables,fresh,leafy,Curry,Leaves,Malaysia"
Laksa Leaves Malaysia,https://coldstorage.com.sg/laksa-leaves-054124,fruits-vegetables/fresh-vegetables/leafy-vegetables,,50g,$1.65,,"fruits,vegetables,fresh,leafy,Laksa,Leaves,Malaysia"
Wa Wa Chye Wombok Heart,https://coldstorage.com.sg/wa-wa-chye-wombok-heart-091680,fruits-vegetables/fresh-vegetables/leafy-vegetables,,3S,$2.45,,"fruits,vegetables,fresh,leafy,Wa,Chye,Wombok,Heart"
Kai Lan Stem,https://coldstorage.com.sg/kai-lan-stem-china-007018,fruits-vegetables/fresh-vegetables/leafy-vegetables,,KG,$3.30,,"fruits,vegetables,fresh,leafy,Kai,Lan,Stem"
Mizuna +/-100g,https://coldstorage.com.sg/veggie-life-mizuna-100g-149486,fruits-vegetables/fresh-vegetables/leafy-vegetables,,1PKT,$4.70,,"fruits,vegetables,fresh,leafy,Mizuna,+/-100g"
Mushroom Bunashimeji 100g,https://coldstorage.com.sg/bunashimeji-100g-020734,fruits-vegetables/fresh-vegetables/mushrooms,,100G,$1.70,Buy 2 @ $2.45,"fruits,vegetables,fresh,mushrooms,Mushroom,Bunashimeji,100g"
Mushroom White Button Holland,https://coldstorage.com.sg/mushroom-button-white-138504,fruits-vegetables/fresh-vegetables/mushrooms,,200G,$4.00,,"fruits,vegetables,fresh,mushrooms,Mushroom,White,Button,Holland"
Mushroom Brown Button Holland,https://coldstorage.com.sg/mushroom-button-brown-138506,fruits-vegetables/fresh-vegetables/mushrooms,,200G,$4.00,,"fruits,vegetables,fresh,mushrooms,Mushroom,Brown,Button,Holland"
Mushroom King Oyster Korea,https://coldstorage.com.sg/mushroom-king-oyster-158996,fruits-vegetables/fresh-vegetables/mushrooms,,400G,$3.90,13% off,"fruits,vegetables,fresh,mushrooms,Mushroom,King,Oyster,Korea"
Sliced Mushroom - White Button 125g,https://coldstorage.com.sg/mushroom-button-sliced-malaysia-078298,fruits-vegetables/fresh-vegetables/mushrooms,,125g,$4.95,,"fruits,vegetables,fresh,mushrooms,Sliced,Mushroom,-,White,Button,125g"
Mushroom Portobello Baby Malaysia,https://coldstorage.com.sg/mushroom-portobello-baby-079023,fruits-vegetables/fresh-vegetables/mushrooms,,200g,$6.45,,"fruits,vegetables,fresh,mushrooms,Mushroom,Portobello,Baby,Malaysia"
Enoki Mushroom +/-200g,https://coldstorage.com.sg/mushroom-enoki-taiwan-172005,fruits-vegetables/fresh-vegetables/mushrooms,-,200g,$2.00,,"fruits,vegetables,fresh,mushrooms,Enoki,Mushroom,+/-200g"
Mushroom 2 In 1 Mix Malaysia,https://coldstorage.com.sg/mushroom-2-in-1-mix-msia-078302,fruits-vegetables/fresh-vegetables/mushrooms,,250g,$6.95,,"fruits,vegetables,fresh,mushrooms,Mushroom,2,In,1,Mix,Malaysia"
Mushroom Button Brown Malaysia,https://coldstorage.com.sg/mushroom-button-brown-078300,fruits-vegetables/fresh-vegetables/mushrooms,,200g,$4.00,,"fruits,vegetables,fresh,mushrooms,Mushroom,Button,Brown,Malaysia"
Mushroom White Button Malaysia,https://coldstorage.com.sg/mushroom-white-button-078299,fruits-vegetables/fresh-vegetables/mushrooms,,200g,$4.00,,"fruits,vegetables,fresh,mushrooms,Mushroom,White,Button,Malaysia"
Mushroom Bunapi Shimeji 100g,https://coldstorage.com.sg/white-shimeji-hokuto-077439,fruits-vegetables/fresh-vegetables/mushrooms,,100g,$1.70,Buy 2 @ $2.45,"fruits,vegetables,fresh,mushrooms,Mushroom,Bunapi,Shimeji,100g"
Mushroom Shitake China,https://coldstorage.com.sg/mushroom-shitake-137617,fruits-vegetables/fresh-vegetables/mushrooms,,200G,$3.99,,"fruits,vegetables,fresh,mushrooms,Mushroom,Shitake,China"
Dried Small Mushroom 200g,https://coldstorage.com.sg/dried-small-mushroom-156388,fruits-vegetables/fresh-vegetables/mushrooms,Jong Fresh,200G,$8.50,,"fruits,vegetables,fresh,mushrooms,Dried,Small,Mushroom,200g"
Baby Shiitake Mushrooms 150g,https://coldstorage.com.sg/mushroom-baby-shitake-ms-109484,fruits-vegetables/fresh-vegetables/mushrooms,,1PKT,$2.95,,"fruits,vegetables,fresh,mushrooms,Baby,Shiitake,Mushrooms,150g"
Enoki Mushroom 100G,https://coldstorage.com.sg/enoki-jap-variety-100g-077312,fruits-vegetables/fresh-vegetables/mushrooms,,100G,$1.45,,"fruits,vegetables,fresh,mushrooms,Enoki,Mushroom,100G"
Mushroom Grey Oyster Taiwan,https://coldstorage.com.sg/mushroom-grey-oyster-taiwan-071336,fruits-vegetables/fresh-vegetables/mushrooms,,150g,$4.85,,"fruits,vegetables,fresh,mushrooms,Mushroom,Grey,Oyster,Taiwan"
Mushroom - Enoki Brown 200g,https://coldstorage.com.sg/enoki-brown-korea-200g-071171,fruits-vegetables/fresh-vegetables/mushrooms,GREENPEACE,200G,$2.95,,"fruits,vegetables,fresh,mushrooms,Mushroom,-,Enoki,Brown,200g"
Black Fungus 200g,https://coldstorage.com.sg/black-fungus-156390,fruits-vegetables/fresh-vegetables/mushrooms,Jong Fresh,200G,$4.80,,"fruits,vegetables,fresh,mushrooms,Black,Fungus,200g"
Shiitake Ball 200g,https://coldstorage.com.sg/shitake-ball-085714,fruits-vegetables/fresh-vegetables/mushrooms,PENG WANG,200G,$2.85,,"fruits,vegetables,fresh,mushrooms,Shiitake,Ball,200g"
Black Fungus Small 70g,https://coldstorage.com.sg/black-fungus-108807,fruits-vegetables/fresh-vegetables/mushrooms,PAGODA,70G,$3.20,,"fruits,vegetables,fresh,mushrooms,Black,Fungus,Small,70g"
Premium Mushroom 150g,https://coldstorage.com.sg/premium-mushroom-108806,fruits-vegetables/fresh-vegetables/mushrooms,PAGODA,150G,$8.30,,"fruits,vegetables,fresh,mushrooms,Premium,Mushroom,150g"
White Fungus 80g,https://coldstorage.com.sg/white-fungus-108800,fruits-vegetables/fresh-vegetables/mushrooms,PAGODA,80G,$2.35,,"fruits,vegetables,fresh,mushrooms,White,Fungus,80g"
Potato Russet Large USA,https://coldstorage.com.sg/potato-russet-large-usa-118319,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,70C,$0.95,,"fruits,vegetables,fresh,potatoes,onions,roots,Potato,Russet,Large,USA"
Onion Red Bombay Malaysia,https://coldstorage.com.sg/onion-red-bombay-074984,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,FIRST CHOICE,700g,$2.50,,"fruits,vegetables,fresh,potatoes,onions,roots,Onion,Red,Bombay,Malaysia"
Sweet Potato Japan,https://coldstorage.com.sg/sweet-potato-japan-078346,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,500g,$4.90,,"fruits,vegetables,fresh,potatoes,onions,roots,Sweet,Potato,Japan"
Large Onion Peeled,https://coldstorage.com.sg/onion-large-peeled-malaysia-178021,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,400g,$2.95,,"fruits,vegetables,fresh,potatoes,onions,roots,Large,Onion,Peeled"
Gold Sweet Potato 1kg,https://coldstorage.com.sg/sweet-potato-gold-australia-1kg-085959,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,1.0kg,$6.50,27% off,"fruits,vegetables,fresh,potatoes,onions,roots,Gold,Sweet,Potato,1kg"
GARLIC (BKT),https://coldstorage.com.sg/garlic-bak-kut-teh-077679,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,400g,$3.45,,"fruits,vegetables,fresh,potatoes,onions,roots,GARLIC,(BKT)"
Potato Granola Local Indonesia,https://coldstorage.com.sg/potato-granola-local-indonesia-135012,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,-,750g,$3.20,,"fruits,vegetables,fresh,potatoes,onions,roots,Potato,Granola,Local,Indonesia"
Red Onion Peeled,https://coldstorage.com.sg/onion-red-peeled-malaysia-135009,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,300g,$2.85,,"fruits,vegetables,fresh,potatoes,onions,roots,Red,Onion,Peeled"
Potato Mini Indonesia,https://coldstorage.com.sg/potato-mini-indonesia-098800,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,500g,$4.45,,"fruits,vegetables,fresh,potatoes,onions,roots,Potato,Mini,Indonesia"
SHALLOTS 150G,https://coldstorage.com.sg/shallots-malaysia-135011,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,-,150g,$2.95,,"fruits,vegetables,fresh,potatoes,onions,roots,SHALLOTS,150G"
